Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lyz2,16.3916068684889,4.91358237244904,0.335882124986959,14.6288891456782,1.8376297815263198e-48,5.2033780632315797e-48
S100a8,11.8359765801964,4.43497179296787,0.339206834009757,13.0745354996011,4.6036746460899e-39,1.21492323825022e-38
Ifitm3,6.50686296588023,3.30327718682226,0.265154610252248,12.457928540936,1.26616825899718e-35,3.2288218426796697e-35
S100a9,5.65423908946887,3.27521635819415,0.303613944912338,10.787437181582,3.94641399778015e-27,9.23779420108179e-27
Mgp,4.71919315268884,2.96535770466541,0.289369093307417,10.2476656051001,1.21236136596858e-24,2.74794890592966e-24
Cebpb,4.61885976510492,2.92061841489781,0.260380367910497,11.2167381832018,3.37489890677101e-29,8.09417518646665e-29
Ccl6,4.30213015319158,2.82040968209499,0.267979547099188,10.5247199371192,6.64587856703693e-26,1.5323094575942e-25
Dusp1,4.20460341064699,2.7756969292656,0.234572784254887,11.8329879490603,2.63588735619516e-32,6.51792136396908e-32
S100a6,4.24274686772745,2.75123768653841,0.251860827715806,10.9236426779429,8.88589686737646e-28,2.09694311246406e-27
Gsn,4.08615432653169,2.71035314816115,0.284402531563266,9.52998953020299,1.57299092911447e-21,3.42982984543756e-21
Sepx1,3.77278244976723,2.57946510147521,0.247693699787875,10.4139310111007,2.14190287267435e-25,4.913528013781629e-25
Fos,3.75513681735829,2.18131339094404,0.227849953394572,9.57346428404408,1.03382247781036e-21,2.2636549220512e-21
Scgb1a1,2.89619839674798,2.1499438331133,0.199273039334837,10.7889348217386,3.88263467913605e-27,9.09665755165626e-27
Anxa2,2.93291157217852,2.13946407135041,0.221131765154405,9.675064411739,3.84849229796875e-22,8.46392660433828e-22
Cldn5,2.83442837075756,2.1048960801128,0.25536201999841,8.2427922528413,1.6823754044839002e-16,3.45068747010057e-16
Gm1821,3.01711647283982,2.10286646531629,0.19680647028205,10.6849457860944,1.19718982956722e-26,2.78304649759113e-26
Inmt,2.63884050812956,1.97303489510112,0.265960251182822,7.41853298124932,1.18424689907373e-13,2.32659721985881e-13
Sepp1,2.56304743433698,1.8691881580708,0.220035613419551,8.49493465635829,1.98044299471747e-17,4.10968492642623e-17
Lst1,2.55511552511376,1.86122153461238,0.244639454938453,7.60801864556407,2.78329694970411e-14,5.52111346283696e-14
Gpx3,2.32684059266428,1.7337126741757,0.256077830797609,6.77025679566121,1.2855401339689699e-11,2.4441884900083798e-11
Tmem100,2.21103773451522,1.633060860918,0.242366761609264,6.73797368118807,1.6061065084991598e-11,3.05034599758619e-11
Igfbp7,2.16211183111395,1.58911458870236,0.243905263300554,6.51529436961827,7.25472441383229e-11,1.36418088761544e-10
Retnlg,2.18403731755796,1.58031321983431,0.247907143457046,6.37461751927338,1.8342012364534201e-10,3.4194751622453004e-10
Lgals1,3.93586821345479,1.55709781871857,0.240073278093581,6.48592725972448,8.818770837629559e-11,1.65470825925328e-10
Alox5ap,2.42225732322977,1.53488039610651,0.222137763843738,6.90958785911887,4.86063759502806e-12,9.31614769452781e-12
S100a4,2.15915414522746,1.47035183058914,0.245999632640904,5.97704888744885,2.2721602932579803e-9,4.1572648898726504e-9
Cxcl2,2.01494383480382,1.44716587359228,0.23906985750879,6.05331800785079,1.41892360589309e-9,2.6066448082920703e-9
